Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
Cannabis Retail Sales,THE CANNABIS HOUSE,6964 - 76 AVENUE NW,287374253-006,Issued,,"Dec 28, 2023",,6260,Girard Industrial,Métis,53.512922,-113.435400,"(53.51292202563777, -113.4354001248798)",1,POINT (-113.4354001248798 53.51292202563777)
Cannabis Retail Sales,PLANTLIFE,10185 - 186 STREET NW,286189015-010,Issued,,"Oct 01, 2023",,4530,Sunwapta Industrial,Nakota Isga,53.542262,-113.644425,"(53.54226204877924, -113.64442506825861)",1,POINT (-113.64442506825861 53.54226204877924)
Cannabis Retail Sales,VALUE BUDS AT JASPER AVE 121,12120 - JASPER AVENUE NW,286660760-014,Issued,,"Nov 18, 2023",124 Street and Area,1150,Oliver,O-day'min,53.541299,-113.531669,"(53.54129903541032, -113.53166859379797)",1,POINT (-113.53166859379797 53.54129903541032)
Cannabis Retail Sales,VALUE BUDS AT CHAPPELLE COMMONS,14143 - 28 AVENUE SW,287277791-008,Issued,,"Nov 28, 2023",,5462,Chappelle,Ipiihkoohkanipiaohtsi,53.409629,-113.567075,"(53.40962904738339, -113.56707462984407)",1,POINT (-113.56707462984407 53.40962904738339)
Cannabis Retail Sales,HEY BUD RETAIL CANNABIS,15820 - STONY PLAIN ROAD NW,285958055-039,Issued,,"Jun 01, 2023",Stony Plain Road and Area,4060,Britannia Youngstown,Nakota Isga,53.541587,-113.594745,"(53.54158704290155, -113.59474507958672)",1,POINT (-113.59474507958672 53.54158704290155)
Cannabis Retail Sales,VALUE BUDS AT MAYFIELD COMMON,120 - MAYFIELD COMMON NW,286329359-010,Issued,,"Nov 25, 2023",Stony Plain Road and Area,4060,Britannia Youngstown,Nakota Isga,53.543297,-113.611836,"(53.5432970448367, -113.61183607519203)",1,POINT (-113.61183607519203 53.5432970448367)
Cannabis Retail Sales,CANNA CABANA,16952 - 111 AVENUE NW,286065117-007,Issued,,"Jan 26, 2024",,4600,West Sheffield Industrial,Nakota Isga,53.560073,-113.614046,"(53.56007304411827, -113.61404556906294)",1,POINT (-113.61404556906294 53.56007304411827)
Cannabis Retail Sales,FIRE & FLOWER CANNABIS CO,9610 - 165 AVENUE NW,285838400-007,Issued,,"Oct 28, 2023",,2241,Eaux Claires,tastawiyiniwak,53.626574,-113.490269,"(53.62657402547754, -113.49026857440214)",1,POINT (-113.49026857440214 53.62657402547754)
Cannabis Retail Sales,FIRE AND FLOWER,10141 - 100A STREET NW,287613738-009,Issued,,"Aug 19, 2023",Downtown,1090,Downtown,O-day'min,53.541875,-113.491695,"(53.541875030620886, -113.4916951025611)",1,POINT (-113.4916951025611 53.541875030620886)
Cannabis Retail Sales,NSPIRE CANNABIS INC.,"3, 5010 - 76 AVENUE NW",286086429-014,Issued,,"Aug 04, 2023",,6160,Davies Industrial East,Métis,53.513138,-113.419322,"(53.513138023715136, -113.41932162841591)",1,POINT (-113.41932162841591 53.513138023715136)
